   8.8757469e-01  -3.8988208e-01   1.6484765e-01   4.2413830e+01   1.4979470e+01   1.7933240e+01   1.3589792e+01
   9.2625566e-01  -3.8766975e-01   2.1669988e-01   4.4087363e+01   1.8171662e+01   2.1148872e+01   1.4206851e+01
   8.6717634e-01  -4.2716576e-01   2.1520398e-01   4.5602797e+01   2.1921388e+01   2.4405418e+01   1.4378829e+01
   8.6670338e-01  -4.5169692e-01   2.5279652e-01   4.7600588e+01   2.4308919e+01   2.7168157e+01   1.5094082e+01
   8.5429874e-01  -4.8099839e-01   2.5982228e-01   4.8633451e+01   2.6594804e+01   3.0531773e+01   1.6862360e+01
   8.4615457e-01  -5.0013597e-01   2.7322256e-01   4.8733036e+01   2.8104124e+01   3.3988265e+01   1.8129787e+01
   8.4035472e-01  -5.1680003e-01   2.8694751e-01   4.8473856e+01   3.1674181e+01   3.7001164e+01   1.8985398e+01
   8.3039354e-01  -5.4086181e-01   2.9927491e-01   4.6583809e+01   3.5594925e+01   4.0522659e+01   2.1263455e+01
   8.1826778e-01  -5.6820530e-01   3.1011046e-01   4.6024009e+01   3.8878142e+01   4.3495375e+01   2.4556608e+01
   8.0414151e-01  -6.0027010e-01   3.1916814e-01   4.4799322e+01   4.3117083e+01   4.7768749e+01   2.7123049e+01
   7.8584943e-01  -6.2905722e-01   3.2292556e-01   4.4325028e+01   4.7748761e+01   5.0865058e+01   2.7732377e+01
   7.6599491e-01  -6.5514226e-01   3.3130027e-01   4.3185869e+01   4.9115511e+01   5.3696576e+01   2.9417815e+01
   7.4238963e-01  -6.7528657e-01   3.3767526e-01   4.0085248e+01   5.1061742e+01   5.6424026e+01   2.9933409e+01
   7.0946533e-01  -7.0302734e-01   3.4369336e-01   3.9446897e+01   5.4499943e+01   6.0508667e+01   3.0684954e+01
   6.7308473e-01  -7.2634697e-01   3.5288988e-01   3.8020229e+01   5.5528523e+01   6.4461738e+01   3.1219627e+01
   6.3937244e-01  -7.5085519e-01   3.6084556e-01   3.5429172e+01   5.7432640e+01   6.7973073e+01   3.2269113e+01
   6.0996063e-01  -7.7554451e-01   3.6921662e-01   3.5301452e+01   5.9468824e+01   7.0161093e+01   3.1662681e+01
   5.7596174e-01  -7.9412266e-01   3.7040754e-01   3.6561084e+01   5.9519468e+01   7.0404897e+01   3.2082624e+01
   5.3787169e-01  -8.0979260e-01   3.7297997e-01   3.7356115e+01   6.0230552e+01   7.1177544e+01   3.3896666e+01
   4.9856475e-01  -8.2076071e-01   3.8039921e-01   3.7156044e+01   6.1389816e+01   7.2485471e+01   3.3206802e+01
   4.5165918e-01  -8.2975168e-01   3.8517819e-01   3.9173342e+01   6.4112287e+01   7.2135107e+01   3.2890447e+01
   3.9932610e-01  -8.4578231e-01   3.8631075e-01   4.0692465e+01   6.4977800e+01   7.4406741e+01   3.2920248e+01
   3.4588199e-01  -8.6117731e-01   3.8500970e-01   4.0589206e+01   6.3901663e+01   7.5617873e+01   3.2417922e+01
   2.9297147e-01  -8.6852180e-01   3.8245701e-01   3.9725416e+01   6.6249025e+01   7.6538566e+01   2.9881025e+01
   2.4464164e-01  -8.6963691e-01   3.7797738e-01   4.0725938e+01   6.5995319e+01   7.5123069e+01   2.6934665e+01
   1.9874633e-01  -8.6480171e-01   3.7374234e-01   3.9930131e+01   6.3272602e+01   7.2396012e+01   2.5252207e+01
   1.5292816e-01  -8.5929768e-01   3.6754014e-01   3.8630131e+01   6.1122034e+01   6.9554813e+01   2.4159341e+01
